id,pair,languages_detected,language_ratios,prompt,normalised,lost_in_translation,accuracy_score,fluency_score,tone_score,overall_rating
1,english-hindi,"['Hindi', 'English']","{'Hindi': 0.55, 'English': 0.45}",yaar mujhe literally kuch bhi nahi samajh aaya in that lecture,"Dude, I literally didn't understand anything in that lecture.","The word 'yaar' is a deeply familiar Hindi/Urdu term of address roughly meaning 'friend' or 'dude', but it carries a warmer, more intimate and exasperated tone than its English equivalents. It implies a close friendship and a sense of venting to someone who will empathize. The code-switching itself also reflects a common urban South Asian (especially Indian) speech style that signals a particular educated, youth cultural identity — the seamless blend of Hindi and English (often called 'Hinglish') is a sociolinguistic marker that is entirely lost when the sentence is rendered in pure English.",,,,
2,english-dutch,"['Dutch', 'English']","{'Dutch': 0.55, 'English': 0.45}","ik snap het gewoon niet man, deze assignment maakt absoluut geen sense","I just don't get it man, this assignment makes absolutely no sense","The code-switching between Dutch and English is very natural and common among Dutch-speaking younger generations, particularly students. The word 'man' functions as a casual filler/address term similar to 'dude' or 'bro' in informal speech. The frustration and informal register are well-preserved, but the seamless blending of languages reflects a specific bilingual youth culture that disappears in a monolingual rendering. 'Snap' in Dutch (from 'snappen') has a slightly more colloquial, exasperated feel than the English 'get' or 'understand'.",,,,
3,english-dutch,"['Dutch', 'English']","{'Dutch': 0.45, 'English': 0.55}","het is echt too much, I don't think we'll finish this op tijd","It's really too much, I don't think we'll finish this on time","The casual code-switching between Dutch and English reflects a natural bilingual conversational style common in the Netherlands and Belgium, where English phrases are often seamlessly embedded in Dutch speech. The word 'echt' (really/truly) carries a strong emphatic tone that is slightly more expressive and emotional than a plain English 'really'. The mix itself conveys a relaxed, informal register typical of younger educated Dutch speakers, and that cultural flavour of effortless bilingualism is lost when the sentence is fully normalised into English.",,,,
4,english-dutch,"['Dutch', 'English']","{'Dutch': 0.4, 'English': 0.6}","gezellig was het last night, we should definitely do this nog een keertje","It was cozy last night, we should definitely do this one more time.","The word 'gezellig' is a culturally rich Dutch concept that goes far beyond 'cozy.' It encompasses a warm, convivial, comfortable atmosphere often shared with good company — a sense of togetherness and contentment. No single English word captures its full meaning. Similarly, 'nog een keertje' literally means 'one more little time,' with the diminutive '-tje' adding an endearing, affectionate softness to the expression that 'one more time' in English simply doesn't convey. The code-switching itself also signals a bilingual or Dutch-English cultural identity, and the casual mixing of languages reflects informal, familiar speech common among Dutch speakers who are also fluent in English.",,,,
5,english-dutch,"['Dutch', 'English']","{'Dutch': 0.6, 'English': 0.4}","ik heb no clue what we should eat, zullen we gewoon iets orderen","I have no clue what we should eat, shall we just order something","The casual code-switching between Dutch and English is a very common pattern among bilingual Dutch speakers, particularly younger generations. The phrase 'zullen we gewoon' carries a slightly softer, more collaborative tone than 'shall we just' — 'gewoon' (literally 'just/simply') adds a laid-back, nonchalant flavour that suggests low effort or informality. The mixing itself signals a relaxed, informal register typical of urban Dutch youth culture, and flattening it into pure English loses that cultural marker of bilingual identity.",,,,
6,english-dutch,"['Afrikaans', 'Dutch', 'English']","{'Afrikaans': 0.25, 'Dutch': 0.5, 'English': 0.25}","man het weer is so depressing, ik wil niet naar de library","man, the weather is so depressing, I don't want to go to the library","The word 'man' used here is a casual interjection common in both Afrikaans and Dutch, expressing mild frustration or exasperation — similar to 'dude' or 'ugh' in English but more resigned in tone. The code-switching between Afrikaans, Dutch, and English reflects a multilingual speaker identity, likely South African or from a Dutch-speaking community with English influence. The mix itself conveys informality and authenticity that a purely English sentence cannot replicate. 'Ik wil niet' (Dutch) carries a slightly more emphatic personal reluctance than simply saying 'I don't want to', and the casual drop into English for 'depressing' and 'library' suggests those words are naturally borrowed into the speaker's everyday vocabulary.",,,,
7,english-dutch,"['Dutch', 'English']","{'Dutch': 0.55, 'English': 0.45}","ik ben zo exhausted, I stayed up tot like drie uur vannacht","I am so exhausted, I stayed up until like three o'clock last night","The code-switching between Dutch and English reflects a casual, informal bilingual speech pattern common among Dutch speakers who are fluent in English (e.g., in the Netherlands or Belgium). The mixing itself conveys a relaxed, conversational register and a sense of shared bilingual identity. The word 'like' (kept in English in the original) is a colloquial filler/hedge word borrowed into Dutch youth speech, softening the exactness of the time — this informal, slightly vague tone is preserved in translation but the bilingual flavour and cultural identity signalled by the switching is lost.",,,,
8,english-dutch,"['English', 'Dutch', 'Singlish/Colloquial Singaporean English']","{'English': 0.35, 'Dutch': 0.55, 'Singlish': 0.1}","calm down joh, je maakt het veel te complicated","Calm down, man, you're making it way too complicated.","The particle 'joh' is a Singlish/colloquial Malay-influenced discourse particle used to add a tone of mild exasperation, reassurance, or emphasis — similar to 'lah' or 'leh' but slightly more insistent or coaxing. It softens the command while also expressing slight frustration. This nuance is lost when replaced with 'man'. The Dutch phrase 'je maakt het veel te complicated' is itself a code-switch mixing Dutch grammar ('je maakt het veel te') with the English word 'complicated', which is commonly done in informal Dutch speech — this mixing adds a casual, conversational, slightly lazy or humorous tone that is hard to fully replicate in a normalised English sentence.",,,,
9,english-dutch,"['English', 'Dutch']","{'English': 0.55, 'Dutch': 0.45}","I'm going to do boodschappen, wat voor ingredients heb je nodig voor dinner?","I'm going to do groceries, what ingredients do you need for dinner?","The Dutch word 'boodschappen' specifically refers to grocery shopping or errands, and 'ingredients' is written in Dutch as 'ingredients' (same spelling, but Dutch pronunciation differs). The code-switching here suggests a bilingual Dutch-English speaker naturally blending both languages in casual conversation, which reflects a common pattern in Dutch-speaking communities where English words are frequently mixed in. The informal, conversational tone is preserved, but the natural bilingual fluency and cultural identity expressed through the mixing is lost when fully normalised to English.",,,,
10,english-dutch,"['Dutch', 'English']","{'Dutch': 0.65, 'English': 0.35}","ik ben echt stressed voor mijn exam, maar ik moet mijn drivers-license halen.","I am really stressed about my exam, but I also need to get my driver's license.","The code-switching itself reflects a casual, colloquial register common among younger Dutch speakers who naturally blend English words into everyday Dutch speech. The English loanwords 'stressed', 'exam', and 'drivers-license' (note the non-standard hyphenation) are commonly used in informal Dutch conversation and signal a modern, youth-oriented register. The word 'echt' (really/truly) carries a strong emphatic Dutch flavor that, while translated as 'really', loses the particular authenticity and sincerity it conveys in Dutch informal speech. The mixing of languages also subtly signals the speaker's bilingual identity and social context.",,,,
