id,pair,original,normalised,lost_in_translation,accuracy_score,fluency_score,tone_score,overall_rating
1,english-hindi,yaar mujhe literally kuch bhi nahi samajh aaya in that lecture,"Dude, I literally understood absolutely nothing in that lecture.","'Yaar' is a warm, intimate term of address with no English equivalent — closer to 'mate' but more emotionally close. 'Kuch bhi nahi' adds emphatic, theatrical exasperation that 'nothing' alone doesn't convey. The Hinglish register itself signals urban South Asian youth identity.",9,10,9,9.333333333333334
2,english-dutch,"ik snap het gewoon niet man, deze assignment maakt absoluut geen sense","I just don't get it, man, this assignment makes absolutely no sense.",'Gewoon' is a highly versatile Dutch filler meaning 'just/simply' but carries a tone of mild resignation or obviousness that is hard to replicate. 'Man' as an address is borrowed but feels more casual and less gendered in Dutch youth speech.,10,10,10,10.0
3,english-dutch,"het is echt too much, I don't think we'll finish this op tijd","It's really too much, I don't think we'll finish this on time.",'Echt' (really/truly) is a strong Dutch intensifier that adds genuine sincerity and stress — it's not merely 'really' but carries an emotional weight. The mid-sentence switch to English mid-thought mirrors the cognitive overwhelm being described.,9,9,8,8.666666666666666
4,english-dutch,"gezellig was het last night, we should definitely do this nog een keertje","It was really cozy and fun last night, we should definitely do this one more time.","'Gezellig' is famously untranslatable — it means cozy, convivial, warm, and socially pleasant all at once. 'Nog een keertje' (one more little time) has a diminutive warmth that 'one more time' lacks entirely. Major nuance loss here.",8,8,7,7.666666666666667
5,english-dutch,"ik heb no clue what we should eat, zullen we gewoon iets orderen","I have no clue what we should eat, should we just order something?","'Zullen we' is a gentle, collaborative suggestion ('shall we') that is softer than 'should we'. 'Gewoon' again adds a resigned casualness — 'just' approximates it but not fully.",9,9,8,8.666666666666666
6,english-dutch,"man het weer is so depressing, ik wil niet naar de library","Man, the weather is so depressing, I don't want to go to the library.",Fairly low nuance loss. 'Man' as an opener is casual and genderless in Dutch youth speech. The emotional logic — bad weather as justification for academic avoidance — is a culturally universal student sentiment.,10,10,9,9.666666666666666
7,english-dutch,"ik ben zo exhausted, I stayed up tot like drie uur vannacht","I'm so exhausted, I stayed up until like three in the morning last night.",'Vannacht' means both 'last night' and 'tonight' depending on context — here it means last night. 'Drie uur' preserves the Dutch habit of using 24h-adjacent casual time reference. 'Like' as a hedge is borrowed English but fully naturalised in Dutch youth speech.,10,10,10,10.0
8,english-dutch,"calm down joh, je maakt het veel te complicated","Calm down, man, you're making it way too complicated.","'Joh' is a distinctly Dutch interjection — a softening particle expressing mild exasperation or reassurance, similar to 'come on' or 'honestly' but more gentle. It has no clean English equivalent and is lost entirely.",9,10,8,9.0
9,english-dutch,"I'm going to do boodschappen, wat voor ingredients heb je nodig voor dinner?","I'm going to do groceries, what ingredients do you need for dinner?",'Boodschappen doen' (doing errands/groceries) is a set phrase — 'doing groceries' is a calque that sounds slightly odd in English but mirrors the Dutch construction. The speaker likely switches to English mid-thought as a natural bilingual pattern rather than for emphasis.,10,10,9,9.666666666666666
10,english-dutch,"ik ben echt stressed voor mijn exam, maar ik moet mijn drivers-license halen.","I'm really stressed about my exam, but I also need to get my driver's license.",'Halen' literally means 'to fetch/get' but in Dutch is the standard verb for passing a test or obtaining a qualification — it carries a sense of achievement that 'get' doesn't fully convey. 'Echt' again adds sincere emotional weight beyond 'really'.,9,10,10,9.666666666666666
